Styrk code;Styrk description;Category level 1;Category level 2
7535;Skinnberedere og garvere;Industri og produksjon;Tekstil og presisjonsarbeid
7536;Skomakere;Industri og produksjon;Tekstil og presisjonsarbeid
7541;Yrkesdykkere;Sikkerhet og beredskap;Brann-, utryknings- og redningspersonell
7542;Skytebaser og sprengningsarbeidere;Bygg og anlegg;Skytebaser og sprengningsarbeidere
7543;Produkttestere (ikke matprodukter);Håndverkere;Øvrige håndverksyrker
7544;Desinfeksjonsarbeidere og skadedyrbekjempere;Håndverkere;Øvrige håndverksyrker
7549;Andre håndverkere;Håndverkere;Øvrige håndverksyrker
8111;Bergfagarbeidere;Industri og produksjon;Olje, gass og bergverk
8112;Prosessoperatører (oppredning);Industri og produksjon;Olje, gass og bergverk
8113;Operatører innen boring mv.;Industri og produksjon;Olje, gass og bergverk
8114;Operatører innen produksjon av betong mv;Håndverkere;Betongfagarbeider
8121;Operatører innen metallurgiske prosessfag;Industri og produksjon;Fysikk, kjemi og metallurgi
8122;Operatører innen metalloverflatebehandling;Industri og produksjon;Fysikk, kjemi og metallurgi
8131;Operatører innen kjemisk industri;Industri og produksjon;Fysikk, kjemi og metallurgi
8132;Operatører innen produksjon av fotofilm og -papir mv.;Industri og produksjon;Fysikk, kjemi og metallurgi
8141;Operatører innen produksjon av gummiprodukter;Industri og produksjon;Fysikk, kjemi og metallurgi
8142;Operatører innen produksjon av plastprodukter;Industri og produksjon;Fysikk, kjemi og metallurgi
8143;Operatører innen produksjon av papirprodukter;Industri og produksjon;Tekstil og presisjonsarbeid
8151;Spinne- og nøstemaskinoperatører;Industri og produksjon;Tekstil og presisjonsarbeid
8152;Operatører innen tekstilproduksjon mv.;Industri og produksjon;Tekstil og presisjonsarbeid
8153;Industrisyere;Industri og produksjon;Tekstil og presisjonsarbeid
8154;Operatører innen tekstilbearbeiding;Industri og produksjon;Tekstil og presisjonsarbeid
8155;Operatører innen pels-, skinn- og lærbearbeiding;Industri og produksjon;Tekstil og presisjonsarbeid
8156;Operatører innen skinn- og lærprodukter;Industri og produksjon;Tekstil og presisjonsarbeid
8157;Renseri- og vaskerimaskinoperatører;Industri og produksjon;Tekstil og presisjonsarbeid
8159;Andre operatører innen produksjon av tekstiler, pels, skinn og lær;Industri og produksjon;Tekstil og presisjonsarbeid
8160;Operatører innen næringsmiddelproduksjon;Industri og produksjon;Matproduksjon og næringsmiddelarbeid
8171;Operatører innen treforedling;Industri og produksjon;Trevarearbeid og –foredling
8172;Operatører innen trelastproduksjon;Industri og produksjon;Trevarearbeid og –foredling
8181;Operatører innen glass- og keramisk produksjon;Industri og produksjon;Maskinteknikk og mekanikk
8182;Fyrkjele- og turbinoperatør;Industri og produksjon;Maskinteknikk og mekanikk
8183;Pakke-, tappe- og etikettmaskinoperatør;Industri og produksjon;Maskinteknikk og mekanikk
8189;Operatører av andre stasjonære maskiner;Industri og produksjon;Maskinteknikk og mekanikk
8211;Montører av mekaniske produkter;Industri og produksjon;Maskinteknikk og mekanikk
